Wavelength	 Transmission
917.5	0.00474147
918	0.00439211
918.5	0.00413495
919	0.0038778
919.5	0.00371473
920	0.00355167
920.5	0.00344183
921	0.00333199
921.5	0.00327605
922	0.00322012
922.5	0.00320729
923	0.00319446
923.5	0.00322727
924	0.00326007
924.5	0.00332938
925	0.00339868
925.5	0.00352379
926	0.00364891
926.5	0.00384042
927	0.00403193
927.5	0.00430972
928	0.00458751
928.5	0.00499274
929	0.00539797
929.5	0.00598797
930	0.00657798
930.5	0.00736922
931	0.00816047
931.5	0.00925944
932	0.0103584
932.5	0.0119413
933	0.0135242
933.5	0.016226999
934	0.018929901
934.5	0.0240846
935	0.029239399
935.5	0.039280899
936	0.0493224
936.5	0.071114197
937	0.092906103
937.5	0.136015996
938	0.179125994
938.5	0.200255007
939	0.221384004
939.5	0.191352993
940	0.161321998
940.5	0.128276005
941	0.0952309
941.5	0.076456003
942	0.057681199
942.5	0.0475045
943	0.0373278
943.5	0.031769
944	0.0262102
944.5	0.0229684
945	0.0197266
945.5	0.017547799
946	0.015369
946.5	0.0139428
947	0.0125165
947.5	0.0115977
948	0.010679
948.5	0.0100642
949	0.0094494
949.5	0.00901464
950	0.00857989
950.5	0.00828776
951	0.00799563
951.5	0.00782857
952	0.00766152
952.5	0.00757435
953	0.00748718
953.5	0.00747698
954	0.00746678
954.5	0.00753906
955	0.00761134
955.5	0.00776802
956	0.0079247
956.5	0.00817896
957	0.00843322
957.5	0.00878495
958	0.00913668
958.5	0.00962704
959	0.0101174
959.5	0.0108064
960	0.0114953
960.5	0.0123735
961	0.0132518
961.5	0.0144201
962	0.0155883
962.5	0.017065501
963	0.018542601
963.5	0.020473201
964	0.0224039
964.5	0.0250034
965	0.0276029
965.5	0.0308479
966	0.034092899
966.5	0.038000301
967	0.041907702
967.5	0.045958601
968	0.050009601
968.5	0.053436499
969	0.056863401
969.5	0.058915
970	0.0609667
970.5	0.061397798
971	0.0618289
971.5	0.060894102
972	0.0599593
972.5	0.058438599
973	0.056917801
973.5	0.055381399
974	0.053845
974.5	0.052558701
975	0.0512724
975.5	0.050565399
976	0.049858399
976.5	0.049737401
977	0.049616501
977.5	0.0503016
978	0.0509867
978.5	0.0523891
979	0.053791601
979.5	0.056136101
980	0.058480699
980.5	0.062035002
981	0.065589301
981.5	0.070651703
982	0.075714201
982.5	0.082951903
983	0.090189599
983.5	0.100642003
984	0.111094996
984.5	0.125865996
985	0.140636995
985.5	0.161714002
986	0.182790995
986.5	0.212899998
987	0.243009001
987.5	0.283286005
988	0.32356301
988.5	0.375867993
989	0.428173989
989.5	0.479903013
990	0.531630993
990.5	0.565111995
991	0.59859401
991.5	0.601209998
992	0.603827
992.5	0.576636016
993	0.549444973
993.5	0.505801022
994	0.462157011
994.5	0.413769007
995	0.365381002
995.5	0.323029011
996	0.280678004
996.5	0.245019004
997	0.209361002
997.5	0.181188002
998	0.153016001
998.5	0.133160993
999	0.113306001
999.5	0.098607801
1000	0.083909601
