Wavelength (nm)	%T
565.5	92.9878
565.8	92.9723
566	92.9555
566.2	92.9376
566.5	92.9188
566.8	92.8991
567	92.8787
567.2	92.8579
567.5	92.8367
567.8	92.8153
568	92.7939
568.2	92.7726
568.5	92.7517
568.8	92.7313
569	92.7115
569.2	92.6925
569.5	92.6745
569.8	92.6576
570	92.642
570.2	92.6276
570.5	92.6148
570.8	92.6036
571	92.5941
571.2	92.5863
571.5	92.5804
571.8	92.5764
572	92.5743
572.2	92.5743
572.5	92.5763
572.8	92.5803
573	92.5864
573.2	92.5945
573.5	92.6046
573.8	92.6168
574	92.6308
574.2	92.6467
574.5	92.6644
574.8	92.6839
575	92.705
575.2	92.7276
575.5	92.7517
575.8	92.7771
576	92.8037
576.2	92.8313
576.5	92.8599
576.8	92.8892
577	92.9192
577.2	92.9496
577.5	92.9804
577.8	93.0114
578	93.0423
578.2	93.0731
578.5	93.1036
578.8	93.1336
579	93.163
579.2	93.1915
579.5	93.2192
579.8	93.2457
580	93.271
580.2	93.2949
580.5	93.3173
580.8	93.3381
581	93.3572
581.2	93.3744
581.5	93.3897
581.8	93.4029
582	93.414
582.2	93.423
582.5	93.4298
582.8	93.4343
583	93.4366
583.2	93.4365
583.5	93.4342
583.8	93.4295
584	93.4226
584.2	93.4135
584.5	93.4022
584.8	93.3887
585	93.3732
585.2	93.3557
585.5	93.3364
585.8	93.3152
586	93.2923
586.2	93.2679
586.5	93.242
586.8	93.2149
587	93.1865
587.2	93.1571
587.5	93.1268
587.8	93.0958
588	93.0642
588.2	93.0321
588.5	92.9997
588.8	92.9672
589	92.9347
589.2	92.9024
589.5	92.8704
589.8	92.8389
590	92.8079
590.2	92.7777
590.5	92.7484
590.8	92.7201
591	92.6928
591.2	92.6668
591.5	92.6421
591.8	92.6189
592	92.5972
592.2	92.577
592.5	92.5586
592.8	92.5419
593	92.527
593.2	92.5139
593.5	92.5027
593.8	92.4934
594	92.4861
594.2	92.4807
594.5	92.4773
594.8	92.4758
595	92.4762
595.2	92.4786
595.5	92.4828
595.8	92.4889
596	92.4967
596.2	92.5063
596.5	92.5176
596.8	92.5305
597	92.5449
597.2	92.5608
597.5	92.5781
597.8	92.5966
598	92.6164
598.2	92.6372
598.5	92.659
598.8	92.6817
599	92.7051
599.2	92.7292
599.5	92.7538
599.8	92.7789
600	92.8042
600.2	92.8293
600.5	92.8545
600.8	92.8796
601	92.9046
601.2	92.9292
601.5	92.9535
601.8	92.9773
602	93.0004
602.2	93.0229
602.5	93.0445
602.8	93.0652
603	93.0849
603.2	93.1036
603.5	93.1211
603.8	93.1373
604	93.1522
604.2	93.1658
604.5	93.178
604.8	93.1887
605	93.1978
605.2	93.2055
605.5	93.2115
605.8	93.216
606	93.2188
606.2	93.2201
606.5	93.2197
606.8	93.2178
607	93.2143
607.2	93.2092
607.5	93.2026
607.8	93.1945
608	93.185
608.2	93.174
608.5	93.1618
608.8	93.1483
609	93.1335
609.2	93.1177
609.5	93.1008
609.8	93.0829
610	93.0642
610.2	93.0446
610.5	93.0243
610.8	93.0034
611	92.982
611.2	92.9602
611.5	92.938
611.8	92.9156
612	92.8931
612.2	92.8705
612.5	92.848
612.8	92.8257
613	92.8036
613.2	92.7818
613.5	92.7605
613.8	92.7397
614	92.7195
614.2	92.7
614.5	92.6813
614.8	92.6634
615	92.6464
615.2	92.6303
615.5	92.6153
615.8	92.6014
616	92.5887
616.2	92.5771
616.5	92.5667
616.8	92.5576
617	92.5498
617.2	92.5434
617.5	92.5382
617.8	92.5345
618	92.532
618.2	92.531
618.5	92.5313
618.8	92.533
619	92.5361
619.2	92.5405
619.5	92.5462
619.8	92.5532
620	92.5615
620.2	92.571
620.5	92.5817
620.8	92.5935
621	92.6065
621.2	92.6205
621.5	92.6355
621.8	92.6514
622	92.6682
622.2	92.6858
622.5	92.7042
622.8	92.7233
623	92.743
623.2	92.7632
623.5	92.7839
623.8	92.8049
624	92.8263
624.2	92.848
624.5	92.8698
624.8	92.8916
625	92.9135
625.2	92.9353
625.5	92.957
625.8	92.9785
626	92.9996
626.2	93.0204
626.5	93.0407
626.8	93.0606
627	93.0798
627.2	93.0984
627.5	93.1163
627.8	93.1335
628	93.1498
628.2	93.1653
628.5	93.1799
628.8	93.1935
629	93.2061
629.2	93.2176
629.5	93.2281
629.8	93.2375
630	93.2457
630.2	93.2529
630.5	93.2588
630.8	93.2636
631	93.2672
631.2	93.2697
631.5	93.2709
631.8	93.271
632	93.27
632.2	93.2678
632.5	93.2644
632.8	93.26
633	93.2545
633.2	93.2484
633.5	93.2414
633.8	93.2334
634	93.2246
634.2	93.2149
634.5	93.2045
634.8	93.1933
635	93.1815
635.2	93.169
635.5	93.1559
635.8	93.1423
636	93.1282
636.2	93.1137
636.5	93.0988
636.8	93.0836
637	93.0682
637.2	93.0526
637.5	93.0369
637.8	93.0211
638	93.0053
638.2	92.9895
638.5	92.9739
638.8	92.9584
639	92.9432
639.2	92.9282
639.5	92.9136
639.8	92.8993
640	92.8855
640.2	92.8722
640.5	92.8594
640.8	92.8472
641	92.8356
641.2	92.8247
641.5	92.8144
641.8	92.8049
642	92.7962
642.2	92.7883
642.5	92.7812
642.8	92.7749
643	92.7696
643.2	92.7651
643.5	92.7615
643.8	92.7589
644	92.7572
644.2	92.7565
644.5	92.7567
644.8	92.7578
645	92.76
645.2	92.763
645.5	92.767
645.8	92.772
646	92.7778
646.2	92.7846
646.5	92.7923
646.8	92.8008
647	92.8102
647.2	92.8205
647.5	92.8315
647.8	92.8433
648	92.8558
648.2	92.8691
648.5	92.883
648.8	92.8976
649	92.9127
649.2	92.9284
649.5	92.9447
649.8	92.9614
650	92.9785
650.2	92.996
650.5	93.0139
650.8	93.032
651	93.0504
651.2	93.0689
651.5	93.0876
651.8	93.1064
652	93.1252
652.2	93.1441
652.5	93.1628
652.8	93.1815
653	93.2
653.2	93.2182
653.5	93.2363
653.8	93.254
654	93.2714
654.2	93.2884
654.5	93.3049
654.8	93.321
655	93.3365
655.2	93.3515
655.5	93.3658
655.8	93.3795
656	93.3926
656.2	93.4049
656.5	93.4165
656.8	93.4273
657	93.4374
657.2	93.4466
657.5	93.4549
657.8	93.4624
658	93.469
658.2	93.4748
658.5	93.4796
658.8	93.4835
659	93.4865
659.2	93.4885
659.5	93.4896
659.8	93.4898
660	93.489
660.2	93.4873
660.5	93.4847
660.8	93.4812
661	93.4768
661.2	93.4715
661.5	93.4653
661.8	93.4583
662	93.4505
662.2	93.4419
662.5	93.4325
662.8	93.4223
663	93.4115
663.2	93.3999
663.5	93.3877
663.8	93.3749
664	93.3615
664.2	93.3475
664.5	93.333
664.8	93.3181
665	93.3027
665.2	93.2869
665.5	93.2708
665.8	93.2543
666	93.2376
666.2	93.2207
666.5	93.2036
666.8	93.1863
667	93.169
667.2	93.1516
667.5	93.1341
667.8	93.1168
668	93.0994
668.2	93.0823
668.5	93.0652
668.8	93.0484
669	93.0318
669.2	93.0155
669.5	92.9994
669.8	92.9838
670	92.9685
670.2	92.9536
670.5	92.9392
670.8	92.9252
671	92.9118
671.2	92.8989
671.5	92.8866
671.8	92.8748
672	92.8637
672.2	92.8532
672.5	92.8434
672.8	92.8342
673	92.8258
673.2	92.818
673.5	92.811
673.8	92.8047
674	92.7991
674.2	92.7943
674.5	92.7902
674.8	92.7869
675	92.7844
675.2	92.7826
675.5	92.7816
675.8	92.7813
676	92.7818
676.2	92.7831
676.5	92.7851
676.8	92.7878
677	92.7912
677.2	92.7954
677.5	92.8002
677.8	92.8058
678	92.812
678.2	92.8188
678.5	92.8263
678.8	92.8343
679	92.843
679.2	92.8522
679.5	92.862
679.8	92.8722
680	92.883
680.2	92.8942
680.5	92.9058
680.8	92.9179
681	92.9303
681.2	92.9431
681.5	92.9561
681.8	92.9695
682	92.9831
682.2	92.9969
682.5	93.0109
682.8	93.0251
683	93.0394
683.2	93.0538
683.5	93.0682
683.8	93.0827
684	93.0971
684.2	93.1115
684.5	93.1259
684.8	93.1402
685	93.1543
685.2	93.1683
685.5	93.182
685.8	93.1956
686	93.2089
686.2	93.222
686.5	93.2347
686.8	93.2472
687	93.2592
687.2	93.271
687.5	93.2823
687.8	93.2932
688	93.3037
688.2	93.3137
688.5	93.3233
688.8	93.3323
689	93.3409
689.2	93.349
689.5	93.3565
689.8	93.3635
690	93.37
690.2	93.3759
690.5	93.3812
690.8	93.386
691	93.3902
691.2	93.3938
691.5	93.3969
691.8	93.3994
692	93.4013
692.2	93.4027
692.5	93.4035
692.8	93.4037
693	93.4034
693.2	93.4026
693.5	93.4012
693.8	93.3994
694	93.397
694.2	93.3941
694.5	93.3907
694.8	93.3869
695	93.3826
695.2	93.3779
695.5	93.3728
695.8	93.3673
696	93.3615
696.2	93.3553
696.5	93.3487
696.8	93.3419
697	93.3347
697.2	93.3273
697.5	93.3197
697.8	93.3119
698	93.3038
698.2	93.2956
698.5	93.2873
698.8	93.2788
699	93.2703
699.2	93.2617
699.5	93.2531
699.8	93.2444
700	93.2358
700.2	93.2272
700.5	93.2186
700.8	93.2102
701	93.2018
701.2	93.1936
701.5	93.1855
701.8	93.1777
702	93.17
702.2	93.1625
702.5	93.1553
702.8	93.1483
703	93.1416
703.2	93.1352
703.5	93.1291
703.8	93.1234
704	93.118
704.2	93.113
704.5	93.1083
704.8	93.104
705	93.1002
705.2	93.0967
705.5	93.0937
705.8	93.0911
706	93.089
706.2	93.0873
706.5	93.0861
706.8	93.0853
707	93.085
707.2	93.0851
707.5	93.0858
707.8	93.0869
708	93.0885
708.2	93.0905
708.5	93.093
708.8	93.096
709	93.0995
709.2	93.1034
709.5	93.1077
709.8	93.1126
710	93.1178
710.2	93.1235
710.5	93.1296
710.8	93.1361
711	93.143
711.2	93.1503
711.5	93.1579
711.8	93.1659
712	93.1743
712.2	93.183
712.5	93.192
712.8	93.2012
713	93.2108
713.2	93.2206
713.5	93.2307
713.8	93.241
714	93.2515
714.2	93.2622
714.5	93.273
